x,y,z,n1,n2,n3
1,2.625,20,-0.33,0.88,-0.33
2,2.625,19,-0.33,0.88,-0.33
2,3.0,20,-0.33,0.88,-0.33
1,2.625,20,0.32,-0.85,0.42
1,3.125,21,0.32,-0.85,0.42
2,3.0,20,0.32,-0.85,0.42
1,3.125,21,0.34,0.91,0.23
2,3.0,20,0.34,0.91,0.23
2,2.75,21,0.34,0.91,0.23
1,3.125,21,-0.33,-0.88,-0.33
1,2.75,22,-0.33,-0.88,-0.33
2,2.75,21,-0.33,-0.88,-0.33
1,2.75,22,-0.12,0.98,-0.12
2,2.75,21,-0.12,0.98,-0.12
2,2.875,22,-0.12,0.98,-0.12
1,2.75,22,0.12,-0.98,0.12
1,2.875,23,0.12,-0.98,0.12
2,2.875,22,0.12,-0.98,0.12
1,2.875,23,0.33,0.88,0.33
2,2.875,22,0.33,0.88,0.33
2,2.5,23,0.33,0.88,0.33
1,2.875,23,-0.32,-0.85,-0.42
1,2.375,24,-0.32,-0.85,-0.42
2,2.5,23,-0.32,-0.85,-0.42
1,2.375,24,0.49,0.66,0.57
2,2.5,23,0.49,0.66,0.57
2,1.625,24,0.49,0.66,0.57
1,2.375,24,-0.6,-0.8,0.0
1,2.375,25,-0.6,-0.8,0.0
2,1.625,24,-0.6,-0.8,0.0
1,2.375,25,0.44,0.87,-0.22
2,1.625,24,0.44,0.87,-0.22
2,1.875,25,0.44,0.87,-0.22
1,2.375,25,-0.39,-0.78,-0.49
1,1.75,26,-0.39,-0.78,-0.49
2,1.875,25,-0.39,-0.78,-0.49
1,1.75,26,0.12,0.96,0.24
2,1.875,25,0.12,0.96,0.24
2,1.625,26,0.12,0.96,0.24
1,1.75,26,-0.08,-0.66,0.74
1,2.875,27,-0.08,-0.66,0.74
2,1.625,26,-0.08,-0.66,0.74
1,2.875,27,0.08,0.66,-0.74
2,1.625,26,0.08,0.66,-0.74
2,2.75,27,0.08,0.66,-0.74
1,2.875,27,-0.12,-0.98,-0.12
1,2.75,28,-0.12,-0.98,-0.12
2,2.75,27,-0.12,-0.98,-0.12
1,2.75,28,-0.24,0.94,-0.24
2,2.75,27,-0.24,0.94,-0.24
2,3.0,28,-0.24,0.94,-0.24
1,2.75,28,0.21,-0.82,0.53
1,3.4,29,0.21,-0.82,0.53
2,3.0,28,0.21,-0.82,0.53
1,3.4,29,-0.3,0.75,-0.6
2,3.0,28,-0.3,0.75,-0.6
2,3.8,29,-0.3,0.75,-0.6
2,2.8,0,-0.37,-0.91,0.18
2,3.0,1,-0.37,-0.91,0.18
3,2.4,0,-0.37,-0.91,0.18
2,3.0,1,0.45,0.89,-0.09
3,2.4,0,0.45,0.89,-0.09
3,2.5,1,0.45,0.89,-0.09
2,3.0,1,-0.27,-0.53,-0.8
2,1.5,2,-0.27,-0.53,-0.8
3,2.5,1,-0.27,-0.53,-0.8
2,1.5,2,-0.2,0.78,0.59
3,2.5,1,-0.2,0.78,0.59
3,1.75,2,-0.2,0.78,0.59
2,1.5,2,0.24,-0.94,0.24
2,1.75,3,0.24,-0.94,0.24
3,1.75,2,0.24,-0.94,0.24
2,1.75,3,0.24,0.94,0.24
3,1.75,2,0.24,0.94,0.24
3,1.5,3,0.24,0.94,0.24
2,1.75,3,-0.24,-0.96,-0.12
2,1.625,4,-0.24,-0.96,-0.12
3,1.5,3,-0.24,-0.96,-0.12
2,1.625,4,-0.49,0.66,-0.57
3,1.5,3,-0.49,0.66,-0.57
3,2.375,4,-0.49,0.66,-0.57
2,1.625,4,0.51,-0.69,0.51
2,2.375,5,0.51,-0.69,0.51
3,2.375,4,0.51,-0.69,0.51
2,2.375,5,-0.33,0.88,-0.33
3,2.375,4,-0.33,0.88,-0.33
