x,y,z,n1,n2,n3
0.0,1.6,13.8,-0.86,-0.36,-0.36
0.0,1.4,14.0,-0.86,-0.36,-0.36
0.2,1.125,13.8,-0.86,-0.36,-0.36
0.0,1.4,14.0,0.86,0.43,0.27
0.2,1.125,13.8,0.86,0.43,0.27
0.2,1.0,14.0,0.86,0.43,0.27
0.0,1.4,14.0,-0.53,-0.27,0.8
0.0,2.0,14.200000000000001,-0.53,-0.27,0.8
0.2,1.0,14.0,-0.53,-0.27,0.8
0.0,2.0,14.200000000000001,0.0,0.2,-0.98
0.2,1.0,14.0,0.0,0.2,-0.98
0.2,2.0,14.200000000000001,0.0,0.2,-0.98
0.0,2.0,14.200000000000001,0.0,-0.24,-0.97
0.0,1.2,14.4,0.0,-0.24,-0.97
0.2,2.0,14.200000000000001,0.0,-0.24,-0.97
0.0,1.2,14.4,-0.49,0.32,0.81
0.2,2.0,14.200000000000001,-0.49,0.32,0.81
0.2,1.5,14.4,-0.49,0.32,0.81
0.0,1.2,14.4,0.73,-0.49,-0.49
0.0,1.0,14.600000000000001,0.73,-0.49,-0.49
0.2,1.5,14.4,0.73,-0.49,-0.49
0.0,1.0,14.600000000000001,-0.94,0.3,-0.19
0.2,1.5,14.4,-0.94,0.3,-0.19
0.2,1.625,14.600000000000001,-0.94,0.3,-0.19
0.0,1.0,14.600000000000001,0.91,-0.29,-0.29
0.0,0.8,14.8,0.91,-0.29,-0.29
0.2,1.625,14.600000000000001,0.91,-0.29,-0.29
0.0,0.8,14.8,-0.52,0.32,0.79
0.2,1.625,14.600000000000001,-0.52,0.32,0.79
0.2,1.125,14.8,-0.52,0.32,0.79
0.0,0.8,14.8,0.85,-0.52,0.0
0.0,0.8,15.0,0.85,-0.52,0.0
0.2,1.125,14.8,0.85,-0.52,0.0
0.0,0.8,15.0,-0.65,0.65,0.4
0.2,1.125,14.8,-0.65,0.65,0.4
0.2,1.0,15.0,-0.65,0.65,0.4
0.0,0.8,15.0,0.3,-0.3,0.9
0.0,1.4,15.200000000000001,0.3,-0.3,0.9
0.2,1.0,15.0,0.3,-0.3,0.9
0.0,1.4,15.200000000000001,0.06,0.47,-0.88
0.2,1.0,15.0,0.06,0.47,-0.88
0.2,1.375,15.200000000000001,0.06,0.47,-0.88
0.0,1.4,15.200000000000001,-0.09,-0.7,-0.7
0.0,1.2,15.4,-0.09,-0.7,-0.7
0.2,1.375,15.200000000000001,-0.09,-0.7,-0.7
0.0,1.2,15.4,-0.78,0.23,-0.58
0.2,1.375,15.200000000000001,-0.78,0.23,-0.58
0.2,1.875,15.4,-0.78,0.23,-0.58
0.0,1.2,15.4,0.55,-0.16,0.82
0.0,2.2,15.600000000000001,0.55,-0.16,0.82
0.2,1.875,15.4,0.55,-0.16,0.82
0.0,2.2,15.600000000000001,0.89,0.39,0.25
0.2,1.875,15.4,0.89,0.39,0.25
0.2,1.75,15.600000000000001,0.89,0.39,0.25
0.0,2.2,15.600000000000001,-0.85,-0.38,-0.38
0.0,2.0,15.8,-0.85,-0.38,-0.38
0.2,1.75,15.600000000000001,-0.85,-0.38,-0.38
0.0,2.0,15.8,0.84,0.34,0.42
0.2,1.75,15.600000000000001,0.84,0.34,0.42
0.2,1.5,15.8,0.84,0.34,0.42
0.0,2.0,15.8,-0.75,-0.3,0.6
0.0,2.4,16.0,-0.75,-0.3,0.6
0.2,1.5,15.8,-0.75,-0.3,0.6
0.0,2.4,16.0,0.96,0.17,0.21
0.2,1.5,15.8,0.96,0.17,0.21
0.2,1.25,16.0,0.96,0.17,0.21
0.0,2.4,16.0,-0.81,-0.14,-0.57
0.0,1.6,16.2,-0.81,-0.14,-0.57
0.2,1.25,16.0,-0.81,-0.14,-0.57
0.0,1.6,16.2,0.69,0.61,-0.38
0.2,1.25,16.0,0.69,0.61,-0.38
0.2,1.375,16.2,0.69,0.61,-0.38
0.0,1.6,16.2,-0.34,-0.3,0.89
0.0,2.2,16.400000000000002,-0.34,-0.3,0.89
0.2,1.375,16.2,-0.34,-0.3,0.89
0.0,2.2,16.400000000000002,0.52,0.32,-0.79
0.2,1.375,16.2,0.52,0.32,-0.79
0.2,1.875,16.400000000000002,0.52,0.32,-0.79
0.0,2.2,16.400000000000002,-0.59,-0.36,-0.72
0.0,1.8,16.6,-0.59,-0.36,-0.72
0.2,1.875,16.400000000000002,-0.59,-0.36,-0.72
